Số thứ tự,Tên đơn vị hành chính,Tỉnh/Thành phố,Chú thích,Dân số (người),Diện tích (km²),Mật độ dân số (người/km²),Số ĐVHC cấp xã
642,Tuy Hòa,Phú Yên,thành phố,155921,110.6,141,16
643,Tuy Phong,Bình Thuận,,1448,773.7,187,11
644,Tuy Phước,Bình Định,,180191,219.9,819,13
645,Tuyên Hóa,Quảng Bình,,77754,1128.7,69,19
646,Tuyên Quang,Tuyên Quang,thành phố,191118,184.4,1036,15
647,U Minh Thượng,Kiên Giang,,63415,432.7,147,6
648,U Minh,Cà Mau,,100876,771.8,131,8
649,Ứng Hòa,Hà Nội,,210869,188.2,112,29
650,Uông Bí,Quảng Ninh,thành phố,120982,255.5,474,10
651,Văn Bàn,Lào Cai,,89167,1423.5,63,22
652,Vân Canh,Bình Định,,27875,804.2,35,7
653,Văn Chấn,Yên Bái,,116804,1129.9,103,24
654,Vân Đồn,Quảng Ninh,huyện đảo,46616,581.8,80,12
655,Văn Giang,Hưng Yên,,120799,71.8,1682,11
656,Vân Hồ,Sơn La,,62188,982.9,63,14
657,Văn Lâm,Hưng Yên,,133027,75.2,1769,11
658,Văn Lãng,Lạng Sơn,,49696,567.4,88,17
659,Vạn Ninh,Khánh Hòa,,130231,561.8,232,13
660,Văn Quan,Lạng Sơn,,54202,547.6,99,17
661,Văn Yên,Yên Bái,,129679,1390.3,93,25
662,Vị Thanh,Hậu Giang,thành phố,73322,119.1,616,9
663,Vị Thủy,Hậu Giang,,90126,230.2,392,10
664,Vị Xuyên,Hà Giang,,110465,1478.4,75,24
665,Việt Trì,Phú Thọ,thành phố,214777,111.5,1926,22
666,Việt Yên,Bắc Giang,thị xã,2059,171,1204,17
667,Vĩnh Bảo,Hải Phòng,,182835,183.3,997,30
668,Vĩnh Châu,Sóc Trăng,thị xã,16468,468.7,351,10
669,Vĩnh Cửu,Đồng Nai,,164003,1095.7,150,12
670,Vĩnh Hưng,Long An,,50074,378.1,132,10
671,Vĩnh Linh,Quảng Trị,,87451,617.2,142,18
672,Vĩnh Lộc,Thanh Hóa,,86362,157.7,548,13
673,Vĩnh Lợi,Bạc Liêu,,101025,251,402,8
674,Vĩnh Long,Vĩnh Long,thành phố,13787,47.8,2884,11
675,Vĩnh Thạnh,Cần Thơ,,98399,305.8,322,11
676,Vĩnh Thạnh,Bình Định,,30587,716.9,43,9
677,Vĩnh Thuận,Kiên Giang,,81875,394.4,208,8
678,Vĩnh Tường,Vĩnh Phúc,,205345,144,1426,28
679,Vĩnh Yên,Vĩnh Phúc,thành phố,119128,50.4,2364,9
680,Vinh,Nghệ An,thành phố,339114,105.1,3227,25
681,Võ Nhai,Thái Nguyên,,6808,839.4,81,15
682,Vụ Bản,Nam Định,,130862,152.8,856,18
683,Vũ Quang,Hà Tĩnh,,28544,637.7,45,10
684,Vũ Thư,Thái Bình,,227921,196.9,1158,30
685,Vũng Liêm,Vĩnh Long,,149371,309.6,482,20
686,Vũng Tàu,Bà Rịa Vũng Tàu,thành phố,357124,150.4,2374,17
687,Xín Mần,Hà Giang,,67999,587,116,18
688,Xuân Lộc,Đồng Nai,,226648,727.2,312,15
689,Xuân Trường,Nam Định,,14948,116.1,1288,20
690,Xuyên Mộc,Bà Rịa – Vũng Tàu,,140723,639.2,220,13
691,Ý Yên,Nam Định,,229006,261.1,877,31
692,Yên Bái,Yên Bái,thành phố,100631,106.8,942,15
693,Yên Bình,Yên Bái,,112046,772.4,145,23
694,Yên Châu,Sơn La,,79295,857.8,92,15
695,Yên Định,Thanh Hóa,,16583,228.8,725,26
696,Yên Dũng,Bắc Giang,,152125,191.8,793,18
697,Yên Khánh,Ninh Bình,,147069,142.6,1031,19
698,Yên Lạc,Vĩnh Phúc,,156456,107.7,1453,17
699,Yên Lập,Phú Thọ,,92858,438.2,212,17
700,Yên Minh,Hà Giang,,97553,776.6,126,18
701,Yên Mô,Ninh Bình,,118469,146.1,811,17
702,Yên Mỹ,Hưng Yên,,156333,92.4,1692,17
703,Yên Phong,Bắc Ninh,,192674,96.9,1988,14
704,Yên Sơn,Tuyên Quang,,145390,1067.7,136,28
705,Yên Thành,Nghệ An,,301635,547.9,551,39
706,Yên Thế,Bắc Giang,,101135,306.4,330,19
707,Yên Thủy,Hòa Bình,,60143,288.9,208,11
